Amount,Transaction_Type,Account_Age,Is_International,Is_High_Risk,Class
3380,2,35,0,1,0
4580,1,11,1,1,1
9338,3,30,0,0,0
6921,4,24,1,0,1
4668,2,30,0,1,0
3755,2,3,0,1,0
7504,2,11,1,1,1
4965,3,21,0,1,1
7261,3,31,1,0,1
590,2,5,0,0,0
8105,3,29,0,0,0
7041,1,12,0,1,0
8642,2,6,0,0,0
7738,2,14,1,1,1
2860,4,26,0,1,0
5676,2,26,1,1,1
9280,1,31,1,0,0
1978,2,17,0,0,0
6984,4,36,1,0,1
3257,1,10,1,1,0
9497,3,29,1,0,1
2635,1,35,1,1,0
1339,1,30,0,0,0
6400,3,5,1,0,1
502,3,32,0,0,0
1472,3,1,0,1,1
1251,4,23,0,1,0
8029,1,31,1,1,1
1356,1,9,1,1,0
9402,3,26,0,0,0
7692,4,6,0,1,1
9692,1,29,1,1,1
4526,1,12,1,0,0
7565,4,20,0,0,0
9696,3,14,0,0,0
5058,1,32,0,1,0
8019,4,27,1,1,1
3639,4,14,0,0,0
3833,2,36,0,0,0
6396,4,19,0,1,1
3620,1,11,0,1,0
4829,2,22,0,1,0
4341,1,14,0,0,0
2672,4,12,0,1,0
9478,1,18,1,1,1
8539,1,1,0,1,1
7147,3,31,1,0,1
5777,4,8,0,0,0
9598,2,6,0,0,0
6570,2,29,1,0,0
3883,4,21,1,0,0
2111,1,34,1,0,0
1143,1,12,0,1,0
5954,2,30,0,0,0
9895,2,14,0,0,0
6997,3,24,0,0,0
4746,1,18,0,0,0
4906,3,4,0,0,1
3927,1,25,0,0,0
2734,1,27,0,1,0
3505,4,17,0,0,0
945,2,13,0,1,0
5577,2,23,1,0,0
1023,3,28,0,0,0
1042,4,13,1,0,0
9682,4,35,1,1,1
3144,2,11,1,1,0
6294,3,19,0,0,0
2642,4,31,1,0,0
6822,3,16,0,1,1
